Name	Appears in	Start Page	End Page	AFTFL Refs #	ARTFL linlk	Dates Appears in the Comedy
Chisse, Madame De	A Prince Of Bohemia::					
Chocardelle, Mademoiselle	The Member For Arcis::					
Choin, Mademoiselle	The Peasantry::					
Chollet, Mother	A Distinguished Provincial At Paris::					
Chrestien, Michel	The Secrets Of A Princess::					
Christemio	The Thirteen::					
Christophe	Father Goriot::					
Cibot	The Chouans::					
Cibot	Cousin Pons::					
Cibot, Barbette	The Chouans::					
Cibot, Jean	The Seamy Side Of History::					
Cibot, Madame	See Remonencq, Madame::					
Cicognara	Sarrasine::					
Cinq-Cygne	The Gondreville Mystery::					
Cinq-Cygne, Berthe De	See Maufrigneuse, Mme::Georges De::					
Cinq-Cygne, Comtesse De	The Gondreville Mystery::					
Cinq-Cygne, Jules De	The Gondreville Mystery::					
Cinq-Cygne, Laurence, Comtesse, Afterwards Marquise De	The Member For Arcis::					
Cinq-Cygne, Marquis De	See Hauteserre, Adrien D'::					
Cinq-Cygne, Paul De	The Gondreville Mystery::					
Ciprey	Pierrette::					
Claes, Felicie	See Pierquin, Madame::					
Claes, Gabriel Or Gustave	The Quest Of The Absolute::					
Claes, Jean-Balthazar	The Quest Of The Absolute::					
Claes, Josephine De Temninck, Madame	A Marriage Settlement::					
Claes, Marguerite	See Solis, Madame De::					
Claes-Molina, Balthazar	The Quest Of The Absolute::					
Clagny, J.-B. De	The Muse Of The Department::					
Clagny, Madame De	The Muse Of The Department::					
Claparon	A Bachelor's Establishment::					
Claparon, Charles	A Man Of Business::The Middle Classes::					
Clapart	A Start In Life::					
Clapart, Madame	A Start In Life::					
Clarimbault, Marechal De	Father Goriot::					
Claude	The Country Doctor::					
Cleretti	Cousin Betty::					
Clerget, Basine	Lost Illusions::					
Clousier	The Country Parson::					
Cochegrue, Jean	The Chouans::					
Cochet, Francoise	Modeste Mignon::					
Cochin, Emile-Louis-Lucien-Emmanuel	Cesar Birotteau::The Government Clerks::The Firm Of Nucingen::The Middle Classes::					
Cochin,, Adolphe	Cesar Birotteau::The Firm Of Nucingen::					
Coffinet	The Middle Classes::					
Coffinet,, Madame	The Middle Classes::					
Cognet	A Bachelor's Establishment::					
Cognet, Madame	A Bachelor's Establishment::					
Cointet, Boniface	The Member For Arcis::					
Cointet, Jean	Lost Illusions::					
Colas, Jacques	The Country Doctor::					
Colleville	The Government Clerks::The Middle Classes::					
Colleville, Flavie Minoret, Madame	The Government Clerks::Cousin Betty::The Middle Classes::					
Collin, Jacques	Scenes from a Courtesan's Life::					
Collin,, Jacqueline	Scenes From A Courtesan's Life::Cousin Betty::The Unconscious Humorists::					
Collinet	The Member For Arcis::					
Collinet, Francois-Joseph	Pierrette::					
Colonna	The Vendetta::					
Coloquinte	A Bachelor's Establishment::A Distinguished Provincial At Paris::					1820
Colorat, Jerome	The Country Parson::					
Constance	Father Goriot::					
Constant De Rebecque, Benjamin	A Distinguished Provincial At Paris::					
Conti, Gennaro	Lost Illusions::Beatrix::					
Conyncks	The Quest Of The Absolute::					
Coquelin, Monsieur And Madame	Cesar Birotteau::					
Coquet	Cousin Betty::					
Coralie, Mademoiselle	A Start In Life::A Distinguished Provincial At Paris::A Bachelor's Establishment::					
Corbigny, De	Louis Lambert::					
Corbinet	The Peasantry::					
Corbinet	The Peasantry::					
Corbinet	The Peasantry::					
Corentin	The Middle Classes::					
Cormon, Rose-Marie-Victoire	See Bousquier, Madame Du::					
Cornevin	The Peasantry::					
Cornoiller, Antoine	Eugenie Grandet::					
Cornoiller, Madame	See Nanon::					
Cottereau	The Chouans::					
Cottin, Francine	The Chouans::					
Cottin, Marechal	Cousin Betty::					
Coudrai, Du	Jealousies Of A Country Town::					
Coupiau	The Chouans::					
Coupiau, Sulpice	The Chouans::					
Courand, Jenny	Gaudissart The Great::					
Courceuil, Felix	The Seamy Side Of History::					
Cournant	Pierrette::					
Courtecuisse	The Peasantry::					
Courtecuisse, Madame	The Peasantry::					
Courteville, Madame De	Honorine::					
Courtois	Lost Illusions::					
Courtois, Madame	Lost Illusions::					
Coussard, Laurent	See Goussard, Laurent::					
Coutelier	A Man Of Business::					
Couture	The Middle Classes::					
Couture, Madame	Father Goriot::					
Couturier, Abbe	Jealousies Of A Country Town::					
Cremiere	Ursule Mirouet::					
Cremiere, Madame	Ursule Mirouet::					
Crevel, Celestin	Cousin Pons::					
Crevel, Celestine	See Hulot, Mme::Victorin::					
Crevel, Madame Celestin	Cousin Betty::					
Crochard	A Second Home::					
Crochard, Caroline	A Second Home::					
Crochard, Charles	The Middle Classes::					
Crochard, Madame	A Second Home::					
Croisier, Du	See Bousquier, Du::					
Croizeau	A Man Of Business::					
Crottat, Alexandre	Cousin Pons::					
Crottat, Monsieur And Madame	Cesar Birotteau::					
Cruchot	Eugenie Grandet::					
Cruchot, Abbe	Eugenie Grandet::					
Curieux, Catherine	See Farrabesche, Madame::					
Cydalise	Cousin Betty::					
Dallot	Farewell::					
Dannepont	Scenes From A Courtesan's Life::					
Dauphin	The Member For Arcis::					
Dauriat	Modeste Mignon::					
David, Madame	The Country Parson::					
Delbecq	Colonel Chabert::					
Denisart						
Derville	Father Goriot::Scenes From A Courtesan's Life::					
Derville, Madame	Cesar Birotteau::					
Descoings	A Bachelor's Establishment::					
Descoings, Madame	A Bachelor's Establishment::					
